'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:12:04'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.7119E+06, 1.6824E+06, 3.1840E+03, 2.6360E+04
 1.0000E-01, 9.1322E+05, 8.9872E+05, 1.8803E+03, 1.2620E+04
 2.0000E-01, 3.9658E+05, 3.8946E+05, 9.7922E+02, 6.1339E+03
 3.0000E-01, 2.1510E+05, 2.1031E+05, 6.1748E+02, 4.1758E+03
 4.0000E-01, 1.3491E+05, 1.3117E+05, 4.3481E+02, 3.3045E+03
 5.0000E-01, 9.3016E+04, 8.9884E+04, 3.3194E+02, 2.7998E+03
 6.0000E-01, 6.9054E+04, 6.6334E+04, 2.6845E+02, 2.4511E+03
 8.0000E-01, 4.4958E+04, 4.2759E+04, 1.9563E+02, 2.0030E+03
 1.0000E+00, 3.2897E+04, 3.1011E+04, 1.5564E+02, 1.7299E+03
 1.5000E+00, 1.8540E+04, 1.7047E+04, 1.0400E+02, 1.3893E+03
 2.0000E+00, 1.1897E+04, 1.0598E+04, 7.7578E+01, 1.2209E+03
 2.5000E+00, 8.0080E+03, 6.8379E+03, 6.1285E+01, 1.1089E+03
 3.0000E+00, 5.5243E+03, 4.4436E+03, 5.0569E+01, 1.0301E+03
 4.0000E+00, 2.8882E+03, 1.9197E+03, 3.7524E+01, 9.3094E+02
 5.0000E+00, 1.6966E+03, 8.0835E+02, 2.9890E+01, 8.5834E+02
 6.0000E+00, 1.1574E+03, 3.2185E+02, 2.5004E+01, 8.1053E+02
 7.0000E+00, 9.1321E+02, 1.2305E+02, 2.1626E+01, 7.6853E+02
 8.0000E+00, 7.9860E+02, 4.4585E+01, 1.9162E+01, 7.3486E+02
 9.0000E+00, 7.3724E+02, 1.5323E+01, 1.7331E+01, 7.0458E+02
 1.0000E+01, 6.9845E+02, 4.9735E+00, 1.5914E+01, 6.7756E+02
 1.2000E+01, 6.5152E+02, 4.0276E-01, 1.3838E+01, 6.3728E+02
 1.4000E+01, 6.0481E+02, 1.0172E-02, 1.2398E+01, 5.9240E+02
 1.6000E+01, 5.6926E+02, 7.8214E-05, 1.1316E+01, 5.5794E+02
 1.8000E+01, 5.3429E+02, 8.3561E-07, 1.0414E+01, 5.2387E+02
 2.0000E+01, 5.0408E+02, 0.0000E+00, 9.6536E+00, 4.9443E+02
'End of File'
