time,temperature_2m_C,precipitation_mm,rain_mm,weathercode,cloudcover_perc,cloudcover_low_perc,cloudcover_mid_perc,cloudcover_high_perc
2021-12-15T00:00,7.6,0.00,0.00,3,100,100,0,98
2021-12-15T01:00,7.6,0.00,0.00,3,100,100,0,99
2021-12-15T02:00,7.5,0.00,0.00,3,100,100,0,87
2021-12-15T03:00,7.5,0.00,0.00,3,100,100,0,39
2021-12-15T04:00,7.4,0.00,0.00,3,90,100,0,0
2021-12-15T05:00,7.4,0.00,0.00,3,90,100,0,0
2021-12-15T06:00,7.4,0.10,0.10,51,90,100,0,0
2021-12-15T07:00,7.9,0.20,0.20,51,90,100,0,0
2021-12-15T08:00,7.8,0.00,0.00,3,89,99,0,0
2021-12-15T09:00,8.0,0.00,0.00,3,87,97,0,0
2021-12-15T10:00,8.3,0.00,0.00,3,89,99,0,0
2021-12-15T11:00,8.6,0.00,0.00,3,88,98,0,0
2021-12-15T12:00,8.9,0.00,0.00,3,89,99,0,0
2021-12-15T13:00,9.1,0.00,0.00,3,88,98,0,0
2021-12-15T14:00,9.0,0.00,0.00,3,87,97,0,0
2021-12-15T15:00,9.0,0.00,0.00,3,90,100,0,0
2021-12-15T16:00,8.8,0.00,0.00,3,90,100,0,0
2021-12-15T17:00,8.7,0.00,0.00,3,90,100,0,0
2021-12-15T18:00,8.7,0.00,0.00,3,90,100,0,0
2021-12-15T19:00,8.4,0.00,0.00,3,89,99,0,0
2021-12-15T20:00,8.3,0.00,0.00,3,90,100,0,0
2021-12-15T21:00,8.2,0.00,0.00,3,89,99,0,0
2021-12-15T22:00,8.2,0.00,0.00,2,74,82,0,0
2021-12-15T23:00,8.1,0.00,0.00,2,69,77,0,0
2021-12-16T00:00,8.0,0.00,0.00,2,77,86,0,0
2021-12-16T01:00,7.7,0.00,0.00,2,74,82,0,0
2021-12-16T02:00,7.9,0.00,0.00,2,69,77,0,0
2021-12-16T03:00,7.9,0.00,0.00,3,90,100,0,0
2021-12-16T04:00,7.9,0.00,0.00,3,90,100,0,0
2021-12-16T05:00,7.9,0.00,0.00,3,88,98,0,0
2021-12-16T06:00,8.0,0.00,0.00,3,89,99,0,0
2021-12-16T07:00,7.8,0.00,0.00,3,84,93,0,0
2021-12-16T08:00,7.6,0.00,0.00,2,68,75,0,0
2021-12-16T09:00,8.0,0.00,0.00,2,62,69,0,0
2021-12-16T10:00,9.0,0.00,0.00,2,64,71,0,0
2021-12-16T11:00,9.8,0.00,0.00,2,60,67,0,0
2021-12-16T12:00,10.3,0.00,0.00,2,66,73,0,0
2021-12-16T13:00,10.5,0.00,0.00,2,59,66,0,0
2021-12-16T14:00,10.5,0.00,0.00,2,51,57,0,0
2021-12-16T15:00,10.0,0.00,0.00,2,57,63,0,0
2021-12-16T16:00,8.8,0.00,0.00,1,44,49,0,0
2021-12-16T17:00,7.9,0.00,0.00,1,43,48,0,0
2021-12-16T18:00,7.5,0.00,0.00,1,43,48,0,0
2021-12-16T19:00,7.6,0.00,0.00,2,76,84,0,0
2021-12-16T20:00,6.8,0.00,0.00,3,86,96,0,0
2021-12-16T21:00,6.1,0.00,0.00,3,90,100,0,0
2021-12-16T22:00,5.5,0.00,0.00,3,90,96,0,12
2021-12-16T23:00,5.2,0.00,0.00,3,93,94,0,28
2021-12-17T00:00,5.4,0.00,0.00,3,99,100,0,29
2021-12-17T01:00,5.8,0.00,0.00,3,89,99,0,0
2021-12-17T02:00,6.2,0.00,0.00,3,93,100,1,7
2021-12-17T03:00,6.1,0.00,0.00,3,100,100,1,48
2021-12-17T04:00,6.2,0.00,0.00,3,100,100,0,53
2021-12-17T05:00,6.5,0.00,0.00,3,97,99,0,27
2021-12-17T06:00,6.7,0.00,0.00,3,92,100,0,8
2021-12-17T07:00,5.9,0.00,0.00,3,90,100,0,0
2021-12-17T08:00,5.8,0.00,0.00,3,90,100,0,0
2021-12-17T09:00,6.2,0.00,0.00,3,90,100,0,0
2021-12-17T10:00,6.9,0.00,0.00,3,90,100,0,0
2021-12-17T11:00,7.4,0.00,0.00,3,90,100,0,0
2021-12-17T12:00,7.6,0.00,0.00,3,90,100,0,0
2021-12-17T13:00,8.1,0.00,0.00,3,90,100,0,0
2021-12-17T14:00,8.1,0.00,0.00,3,90,100,0,0
2021-12-17T15:00,8.0,0.00,0.00,3,90,100,0,0
2021-12-17T16:00,7.7,0.00,0.00,3,90,100,0,0
2021-12-17T17:00,7.5,0.00,0.00,3,90,100,0,0
2021-12-17T18:00,7.5,0.00,0.00,3,90,100,0,0
2021-12-17T19:00,7.1,0.00,0.00,3,90,100,0,0
2021-12-17T20:00,6.9,0.00,0.00,3,90,100,0,0
2021-12-17T21:00,6.6,0.00,0.00,3,89,99,0,0
2021-12-17T22:00,6.4,0.00,0.00,3,89,99,0,0
2021-12-17T23:00,6.1,0.00,0.00,3,89,99,0,0
2021-12-18T00:00,5.9,0.00,0.00,3,90,100,0,0
2021-12-18T01:00,5.6,0.00,0.00,3,89,99,0,0
2021-12-18T02:00,5.4,0.00,0.00,3,88,98,0,0
2021-12-18T03:00,5.0,0.00,0.00,3,88,98,0,0
2021-12-18T04:00,4.8,0.00,0.00,3,86,95,0,0
2021-12-18T05:00,4.6,0.00,0.00,3,87,97,0,0
2021-12-18T06:00,4.6,0.00,0.00,3,87,97,0,0
2021-12-18T07:00,4.8,0.00,0.00,3,88,98,0,0
2021-12-18T08:00,4.9,0.00,0.00,3,90,100,0,0
2021-12-18T09:00,5.2,0.00,0.00,3,88,98,0,0
2021-12-18T10:00,5.7,0.00,0.00,3,90,100,0,0
2021-12-18T11:00,6.1,0.00,0.00,3,90,100,0,0
2021-12-18T12:00,6.6,0.00,0.00,3,90,100,0,0
2021-12-18T13:00,6.8,0.00,0.00,3,90,100,0,0
2021-12-18T14:00,6.9,0.00,0.00,3,90,100,0,0
2021-12-18T15:00,6.8,0.00,0.00,3,90,100,0,0
2021-12-18T16:00,6.5,0.00,0.00,3,90,100,0,0
2021-12-18T17:00,6.4,0.00,0.00,3,90,100,0,0
2021-12-18T18:00,6.4,0.00,0.00,3,90,100,0,0
2021-12-18T19:00,5.7,0.00,0.00,3,90,100,0,0
2021-12-18T20:00,5.6,0.00,0.00,3,90,100,0,0
2021-12-18T21:00,5.5,0.00,0.00,3,90,100,0,0
2021-12-18T22:00,5.5,0.00,0.00,3,90,100,0,0
2021-12-18T23:00,5.3,0.00,0.00,3,90,100,0,0
2021-12-19T00:00,5.2,0.00,0.00,3,90,100,0,0
2021-12-19T01:00,5.0,0.00,0.00,3,90,100,0,0
2021-12-19T02:00,4.9,0.00,0.00,3,90,100,0,0
2021-12-19T03:00,4.7,0.00,0.00,3,90,100,0,0
2021-12-19T04:00,4.5,0.00,0.00,3,90,100,0,0
2021-12-19T05:00,4.5,0.00,0.00,3,90,100,0,0
2021-12-19T06:00,4.3,0.00,0.00,3,90,100,0,0
2021-12-19T07:00,4.5,0.00,0.00,3,90,100,0,0
2021-12-19T08:00,4.5,0.00,0.00,3,90,100,0,0
2021-12-19T09:00,4.7,0.00,0.00,3,90,100,0,0
2021-12-19T10:00,5.1,0.00,0.00,3,90,100,0,0
2021-12-19T11:00,5.5,0.00,0.00,3,90,100,0,0
2021-12-19T12:00,5.9,0.00,0.00,3,90,100,0,0
2021-12-19T13:00,6.2,0.00,0.00,3,90,100,0,0
2021-12-19T14:00,6.3,0.00,0.00,3,90,100,0,0
2021-12-19T15:00,6.3,0.00,0.00,3,90,100,0,0
2021-12-19T16:00,6.1,0.00,0.00,3,90,100,0,0
2021-12-19T17:00,5.8,0.00,0.00,3,90,100,0,0
2021-12-19T18:00,5.8,0.10,0.10,51,90,100,0,0
2021-12-19T19:00,5.4,0.00,0.00,3,89,99,0,0
2021-12-19T20:00,5.1,0.00,0.00,3,89,99,0,0
2021-12-19T21:00,5.0,0.00,0.00,3,89,99,0,0
2021-12-19T22:00,4.7,0.00,0.00,2,76,84,0,0
2021-12-19T23:00,4.7,0.00,0.00,3,88,98,0,0
2021-12-20T00:00,4.7,0.00,0.00,3,89,99,0,0
2021-12-20T01:00,4.7,0.00,0.00,3,89,99,0,0
2021-12-20T02:00,4.8,0.00,0.00,3,89,99,0,0
2021-12-20T03:00,4.8,0.00,0.00,3,86,95,0,0
2021-12-20T04:00,4.8,0.00,0.00,3,84,93,0,0
2021-12-20T05:00,4.6,0.00,0.00,2,70,78,0,0
2021-12-20T06:00,4.1,0.00,0.00,2,73,81,0,0
2021-12-20T07:00,4.5,0.00,0.00,2,75,83,0,0
2021-12-20T08:00,4.2,0.00,0.00,2,59,65,0,0
2021-12-20T09:00,4.3,0.00,0.00,2,59,66,0,0
2021-12-20T10:00,4.9,0.00,0.00,2,52,58,0,0
2021-12-20T11:00,5.2,0.00,0.00,2,53,59,0,0
2021-12-20T12:00,5.2,0.00,0.00,1,49,54,0,0
2021-12-20T13:00,5.1,0.00,0.00,1,43,48,0,0
2021-12-20T14:00,5.0,0.00,0.00,1,39,42,0,4
2021-12-20T15:00,4.7,0.00,0.00,1,47,47,0,14
2021-12-20T16:00,4.1,0.00,0.00,2,52,50,0,22
2021-12-20T17:00,3.5,0.00,0.00,2,61,60,0,23
2021-12-20T18:00,3.1,0.00,0.00,2,62,68,0,4
2021-12-20T19:00,2.7,0.00,0.00,2,57,63,0,0
2021-12-20T20:00,2.1,0.00,0.00,1,47,52,0,0
2021-12-20T21:00,1.4,0.00,0.00,0,19,21,0,0
2021-12-20T22:00,0.7,0.00,0.00,1,23,26,0,0
2021-12-20T23:00,-0.1,0.00,0.00,0,5,5,0,0
2021-12-21T00:00,-0.8,0.00,0.00,0,4,4,0,0
2021-12-21T01:00,-1.6,0.00,0.00,0,0,0,0,0
2021-12-21T02:00,-2.3,0.00,0.00,0,0,0,0,0
2021-12-21T03:00,-3.0,0.00,0.00,0,0,0,0,0
2021-12-21T04:00,-3.7,0.00,0.00,0,0,0,0,0
2021-12-21T05:00,-4.3,0.00,0.00,0,0,0,0,0
2021-12-21T06:00,-4.6,0.00,0.00,0,0,0,0,0
2021-12-21T07:00,-4.7,0.00,0.00,0,0,0,0,0
2021-12-21T08:00,-4.7,0.00,0.00,0,0,0,0,0
2021-12-21T09:00,-3.4,0.00,0.00,0,0,0,0,0
2021-12-21T10:00,-0.7,0.00,0.00,0,0,0,0,0
2021-12-21T11:00,0.9,0.00,0.00,0,0,0,0,0
2021-12-21T12:00,2.0,0.00,0.00,0,0,0,0,0
2021-12-21T13:00,2.5,0.00,0.00,0,0,0,0,0
2021-12-21T14:00,2.4,0.00,0.00,0,0,0,0,0
2021-12-21T15:00,1.5,0.00,0.00,0,0,0,0,0
2021-12-21T16:00,-0.1,0.00,0.00,0,0,0,0,0
2021-12-21T17:00,-1.3,0.00,0.00,0,0,0,0,0
2021-12-21T18:00,-2.1,0.00,0.00,0,0,0,0,0
2021-12-21T19:00,-2.5,0.00,0.00,0,0,0,0,0
2021-12-21T20:00,-3.0,0.00,0.00,0,0,0,0,0
2021-12-21T21:00,-3.3,0.00,0.00,0,1,0,0,2
2021-12-21T22:00,-3.4,0.00,0.00,0,3,0,0,11
2021-12-21T23:00,-3.4,0.00,0.00,0,4,0,0,13
2021-12-22T00:00,-3.4,0.00,0.00,0,8,0,0,28
2021-12-22T01:00,-3.5,0.00,0.00,0,9,0,0,29
2021-12-22T02:00,-3.8,0.00,0.00,0,11,0,0,38
2021-12-22T03:00,-4.1,0.00,0.00,0,11,0,0,36
2021-12-22T04:00,-4.2,0.00,0.00,0,16,0,0,52
2021-12-22T05:00,-4.4,0.00,0.00,0,16,0,0,53
2021-12-22T06:00,-4.5,0.00,0.00,0,6,0,0,21
2021-12-22T07:00,-4.1,0.00,0.00,1,30,0,0,100
2021-12-22T08:00,-3.9,0.00,0.00,1,30,0,0,100
2021-12-22T09:00,-2.7,0.00,0.00,1,30,0,0,100
2021-12-22T10:00,-0.7,0.00,0.00,1,26,0,0,88
2021-12-22T11:00,0.8,0.00,0.00,1,26,0,0,85
2021-12-22T12:00,2.0,0.00,0.00,1,30,0,0,100
2021-12-22T13:00,2.6,0.00,0.00,1,29,0,0,95
2021-12-22T14:00,2.4,0.00,0.00,1,23,0,0,78
2021-12-22T15:00,1.1,0.00,0.00,1,30,0,0,99
2021-12-22T16:00,-0.5,0.00,0.00,1,31,0,2,100
2021-12-22T17:00,-1.0,0.00,0.00,1,30,0,0,100
2021-12-22T18:00,-1.1,0.00,0.00,1,30,0,0,100
2021-12-22T19:00,-1.1,0.00,0.00,1,29,0,0,97
2021-12-22T20:00,-0.8,0.00,0.00,1,28,0,0,94
2021-12-22T21:00,-0.8,0.00,0.00,1,29,0,0,97
2021-12-22T22:00,-0.8,0.00,0.00,1,39,0,15,99
2021-12-22T23:00,-0.3,0.00,0.00,1,46,0,36,82
2021-12-23T00:00,-0.1,0.00,0.00,1,31,0,4,95
2021-12-23T01:00,-0.0,0.00,0.00,1,29,0,0,98
2021-12-23T02:00,0.0,0.00,0.00,1,31,0,2,98
2021-12-23T03:00,-0.0,0.00,0.00,3,86,1,92,100
2021-12-23T04:00,-0.3,0.00,0.00,3,89,0,99,100
2021-12-23T05:00,-0.3,0.00,0.00,3,88,1,95,100
2021-12-23T06:00,0.1,0.00,0.00,3,85,1,90,100
2021-12-23T07:00,1.4,0.00,0.00,2,67,2,58,100
2021-12-23T08:00,1.8,0.00,0.00,2,77,6,69,100
2021-12-23T09:00,2.7,0.00,0.00,3,87,17,71,96
2021-12-23T10:00,3.7,0.00,0.00,2,67,22,29,99
2021-12-23T11:00,4.5,0.00,0.00,2,56,4,39,98
2021-12-23T12:00,5.0,0.00,0.00,2,78,9,69,95
2021-12-23T13:00,5.7,0.00,0.00,2,52,1,42,86
2021-12-23T14:00,6.1,0.00,0.00,2,78,14,67,85
2021-12-23T15:00,5.6,0.00,0.00,2,76,33,27,99
2021-12-23T16:00,4.9,0.00,0.00,2,58,29,4,97
2021-12-23T17:00,5.0,0.00,0.00,1,43,15,3,91
2021-12-23T18:00,5.4,0.00,0.00,3,91,44,40,90
2021-12-23T19:00,4.8,1.00,1.00,55,100,75,90,89
2021-12-23T20:00,5.9,1.00,1.00,55,100,50,65,77
2021-12-23T21:00,6.6,0.30,0.30,51,100,97,1,54
2021-12-23T22:00,7.2,0.00,0.00,3,100,100,56,86
2021-12-23T23:00,7.6,0.00,0.00,3,100,100,4,79
2021-12-24T00:00,7.9,0.00,0.00,3,98,100,0,26
2021-12-24T01:00,7.9,0.00,0.00,3,100,100,0,96
2021-12-24T02:00,7.8,0.00,0.00,3,100,100,0,86
2021-12-24T03:00,7.8,0.00,0.00,3,100,96,0,56
2021-12-24T04:00,7.7,0.00,0.00,3,100,100,0,91
2021-12-24T05:00,7.5,0.00,0.00,3,100,100,0,100
2021-12-24T06:00,7.4,0.00,0.00,3,100,100,0,99
2021-12-24T07:00,7.3,0.00,0.00,3,100,100,0,98
2021-12-24T08:00,7.3,0.00,0.00,3,100,100,0,100
2021-12-24T09:00,7.3,0.00,0.00,3,100,100,0,100
2021-12-24T10:00,7.5,0.00,0.00,3,100,99,1,100
2021-12-24T11:00,7.7,0.00,0.00,3,100,99,3,92
2021-12-24T12:00,8.0,0.00,0.00,3,100,100,4,74
2021-12-24T13:00,8.0,0.00,0.00,3,100,100,1,99
2021-12-24T14:00,7.8,0.00,0.00,3,100,100,6,98
2021-12-24T15:00,7.7,0.00,0.00,3,100,100,4,95
2021-12-24T16:00,7.5,0.00,0.00,3,100,100,0,74
2021-12-24T17:00,7.2,0.00,0.00,3,100,100,0,87
2021-12-24T18:00,7.1,0.00,0.00,3,100,100,6,83
2021-12-24T19:00,6.7,0.00,0.00,3,100,99,9,91
2021-12-24T20:00,6.5,0.00,0.00,3,100,99,4,98
2021-12-24T21:00,6.4,0.10,0.10,51,100,100,18,98
2021-12-24T22:00,6.3,0.60,0.60,53,100,94,92,99
2021-12-24T23:00,6.4,0.40,0.40,51,100,100,96,100
2021-12-25T00:00,6.4,0.90,0.90,53,100,92,99,100
2021-12-25T01:00,6.4,1.00,1.00,55,100,93,97,99
2021-12-25T02:00,6.4,0.70,0.70,53,100,100,99,96
2021-12-25T03:00,6.4,0.90,0.90,53,100,100,88,67
2021-12-25T04:00,6.5,1.30,1.30,61,100,100,86,44
2021-12-25T05:00,6.5,1.50,1.50,61,100,100,80,42
2021-12-25T06:00,6.1,1.40,1.40,61,100,100,80,67
2021-12-25T07:00,4.7,0.40,0.40,51,100,100,86,93
2021-12-25T08:00,3.8,0.50,0.50,53,100,100,66,98
2021-12-25T09:00,3.1,0.30,0.30,51,100,100,61,92
2021-12-25T10:00,2.6,0.10,0.10,51,100,100,85,14
2021-12-25T11:00,2.4,0.00,0.00,3,100,100,34,5
2021-12-25T12:00,2.5,0.00,0.00,3,93,100,5,0
2021-12-25T13:00,2.7,0.00,0.00,3,91,100,0,2
2021-12-25T14:00,2.6,0.00,0.00,3,96,100,2,16
2021-12-25T15:00,2.5,0.00,0.00,3,94,100,0,14
2021-12-25T16:00,2.3,0.00,0.00,3,90,100,0,0
2021-12-25T17:00,2.3,0.00,0.00,3,89,99,0,0
2021-12-25T18:00,2.4,0.00,0.00,3,90,100,0,0
2021-12-25T19:00,2.5,0.00,0.00,3,85,94,0,0
2021-12-25T20:00,2.5,0.00,0.00,3,82,89,0,5
2021-12-25T21:00,2.4,0.00,0.00,2,76,77,9,3
2021-12-25T22:00,2.4,0.00,0.00,3,93,85,5,44
2021-12-25T23:00,2.3,0.00,0.00,2,70,60,3,48
2021-12-26T00:00,2.3,0.00,0.00,2,74,62,6,49
2021-12-26T01:00,2.3,0.00,0.00,2,74,58,10,52
2021-12-26T02:00,2.3,0.00,0.00,2,71,59,5,51
2021-12-26T03:00,2.8,0.00,0.00,3,100,74,20,71
2021-12-26T04:00,3.6,0.00,0.00,3,100,94,48,78
2021-12-26T05:00,4.2,0.00,0.00,3,100,89,76,87
2021-12-26T06:00,4.6,0.00,0.00,3,100,90,74,82
2021-12-26T07:00,3.6,0.00,0.00,3,100,66,94,90
2021-12-26T08:00,4.0,0.00,0.00,3,100,43,75,90
2021-12-26T09:00,4.7,0.00,0.00,3,91,46,37,91
2021-12-26T10:00,5.7,0.00,0.00,3,100,97,56,93
2021-12-26T11:00,6.8,0.00,0.00,3,100,91,38,98
2021-12-26T12:00,7.3,0.00,0.00,3,100,96,45,96
2021-12-26T13:00,7.7,0.00,0.00,3,100,98,7,80
